rank,uid,nickname,company,net_value,equity,avg_equity,profit_rate,max_drawdown,credit_score,annualized_return,win_rate,start_date,update_date,source
1,23398,liwenyan五矿,五矿期货,4.248065710078713,101000000.0,128000000.0,324.81,18.45,193.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
2,20406,全军出击,永安期货,2.6677374284999034,149000000.0,161000000.0,166.77,18.65,180.9,0.0,0.0,2025-07-01,2025-12-31,qihuo7hcn
3,17100,心宿二,永安期货,2.0830687438369933,166000000.0,119000000.0,108.31,40.56,117.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
4,19205,welison,宏源期货,2.5460154550214393,112999999.99999999,87374599.99999999,154.6,46.48,126.8,0.0,0.0,2025-07-01,2026-01-26,qihuo7hcn
5,24434,特丨朗普,中电投先融,2.294881369770956,89060600.0,64296300.0,129.49,19.15,172.6,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
6,6916,浪花三号,永安期货,2.9506652527756714,86645900.0,53091500.0,195.07,30.3,145.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
7,23398,长量爱飞1号,华泰期货,3.4946500236228037,72512100.0,37430300.0,249.47,17.33,192.4,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
8,17978,K线之王,广永期货,1.6399425922940167,89683900.0,70060800.0,63.99,36.35,101.5,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
9,21991,老火鸡,东航期货,1.597187581242653,66252200.0,62498400.0,59.72,37.96,99.0,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
10,22967,全笔记L,民生期货,10.533371313720261,17452800.0,7233400.0,953.34,46.25,140.9,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
11,22590,跬步至千里永安1号,永安期货,1.5831729183343082,38977800.0,36384600.0,58.32,13.98,165.2,0.0,0.0,2025-07-01,2026-02-25,qihuo7hcn
